event_type,time_unit,date_1,date_2,year,month,day,duration,drug_type,quantity,quantity_unit,modus_operandi,sub_modus_operandi,region,country,department/state,municipality/port,origin_country,origin_area,origin_municipality,transit_1_region,transit_1_country,transit_1_department/state,transit_1_municipality/port,transit_2_region,transit_2_country,transit_2_department/state,transit_2_municipality/port,destination_1_region,destination_1_country,destination_1_department/state,destination_1_municipality/port,destination_2_country,destination_2_department/state,destination_2_municipality/port,description,criminal_group_1,criminal_group_2,criminal_group_3,source_link,source_link2,archived_link,minor_involved,project_interested,uid,lat,lon,geo_lugar,geo_precision,_url_original,_titulo_alerta,_fecha_alerta,_scrape_status,_grupo_duplicado,_run_id
Seizure,Individual,2026-06-28,,2026,6,28,,All/Unspecified/Multiple,,,Land,Storage Site,South America,Bolivia,Tarija,,,,,,,,,,,,,,,,,,,,FELCN dismantles operation; drugs found hidden in water dispensers.,,,,https://elpotosi.net/nacional/20260628_tarija-felcn-desmantela-operativo-y-encuentra-droga-en-dispensadores-de-agua.html,,,,,,,,,,https://elpotosi.net/nacional/20260628_tarija-felcn-desmantela-operativo-y-encuentra-droga-en-dispensadores-de-agua.html,Tarija: FELCN desmantela operativo y encuentra droga en dispensadores de agua - El Potosí,2026-06-29,texto_pobre,,20260919_032703
Seizure,Individual,2026-06-15,,2026,6,15,,All/Unspecified/Multiple,,,Land,Human courier,South America,Brazil,Santa Catarina,Chapecó,,,,,,,,,,,,,,,,,,,Minor apprehended with drugs during PM operation in Chapecó.,,,,https://diregional.com.br/diario-do-iguacu/policia/2026-06-15-adolescente-e-apreendido-com-drogas-durante-acao-da-pm-em-chapeco,,,True,,,,,,,https://diregional.com.br/diario-do-iguacu/policia/2026-06-15-adolescente-e-apreendido-com-drogas-durante-acao-da-pm-em-chapeco,Adolescente é apreendido com drogas durante ação da PM em Chapecó - DI Regional,2026-06-15,texto_pobre,,20260919_032703
Seizure,Individual,2025-03-31,,2025,3,31,,Cocaine,7.8,Kilogram,Land,Storage Site,South America,Brazil,Rio Grande do Sul,Caxias do Sul,,,,,,,,,,,,,,,,,,,BM seized 7.8 kg cocaine in Jardim América neighborhood; one man arrested.,,,,https://leouve.com.br/seguranca/policia/bm-prende-homem-e-apreende-quase-8-kg-de-cocaina-em-caxias-do-sul/,,,,,,,,,,https://leouve.com.br/seguranca/policia/bm-prende-homem-e-apreende-quase-8-kg-de-cocaina-em-caxias-do-sul/,BM prende homem e apreende quase 8 kg de cocaína em Caxias do Sul - Leouve,2026-06-01,ok,,20260919_032703
Seizure,Individual,2026-06-27,,2026,6,27,,Cocaine,1500,Kilogram,Land,Storage Site,South America,Colombia,Cesar,La Jagua de Ibirico,,,,,,,,,,,,Central America,,,,,,,ELN lab dismantled; 1.5 tons cocaine and explosives seized in Cesar.,ELN - Frente Camilo Torres,,,https://www.pulzo.com/nacion/golpe-al-eln-incautan-1-5-toneladas-de-cocaina-y-explosivos-en-cesar-colombia-PP5231116A,,,,,,,,,,https://www.pulzo.com/nacion/golpe-al-eln-incautan-1-5-toneladas-de-cocaina-y-explosivos-en-cesar-colombia-PP5231116A,"Golpe al ELN: incautan 1,5 toneladas de cocaína y explosivos en Cesar, Colombia - Pulzo",2026-06-29,ok,dup_6,20260919_032703
Seizure,Individual,2026-06-26,,2026,6,26,,Cocaine,1100,Kilogram,Land,Storage Site,South America,Colombia,Norte de Santander,Bochalema,,,,,,,,,,,,,,,,,,,Lab dismantled; 1.1 tons cocaine and 300 kg cocaine base seized in Bochalema.,,,,https://www.pulzo.com/nacion/golpe-al-eln-incautan-1-5-toneladas-de-cocaina-y-explosivos-en-cesar-colombia-PP5231116A,,,,,,,,,,https://www.pulzo.com/nacion/golpe-al-eln-incautan-1-5-toneladas-de-cocaina-y-explosivos-en-cesar-colombia-PP5231116A,"Golpe al ELN: incautan 1,5 toneladas de cocaína y explosivos en Cesar, Colombia - Pulzo",2026-06-29,ok,dup_4,20260919_032703
Seizure,Individual,2026-06-26,,2026,6,26,,Cocaine Base,300,Kilogram,Land,Storage Site,South America,Colombia,Norte de Santander,Bochalema,,,,,,,,,,,,,,,,,,,300 kg cocaine base seized alongside 1.1 tons cocaine in Bochalema lab raid.,,,,https://www.pulzo.com/nacion/golpe-al-eln-incautan-1-5-toneladas-de-cocaina-y-explosivos-en-cesar-colombia-PP5231116A,,,,,,,,,,https://www.pulzo.com/nacion/golpe-al-eln-incautan-1-5-toneladas-de-cocaina-y-explosivos-en-cesar-colombia-PP5231116A,"Golpe al ELN: incautan 1,5 toneladas de cocaína y explosivos en Cesar, Colombia - Pulzo",2026-06-29,ok,dup_5,20260919_032703
Seizure,Individual,2026-06-27,,2026,6,27,,Cocaine,1500,Kilogram,Land,Storage Site,South America,Colombia,Cesar,La Jagua de Ibirico,,,,,,,,,,,,Central America,,,,,,,1.5 tons cocaine seized at clandestine lab attributed to ELN Frente Camilo Torres.,ELN,,,https://www.eldiario.com.co/noticias/colombia/incautan-15-toneladas-de-cocaina-y-explosivos-atribuidos-al-eln-en-el-cesar/,,,,,,,,,,https://www.eldiario.com.co/noticias/colombia/incautan-15-toneladas-de-cocaina-y-explosivos-atribuidos-al-eln-en-el-cesar/,"Incautan 1,5 toneladas de cocaína y explosivos atribuidos al ELN en el Cesar - El Diario",2026-06-29,ok,dup_6,20260919_032703
Seizure,Individual,2026-06-26,,2026,6,26,,Cocaine,1100,Kilogram,Land,Storage Site,South America,Colombia,Norte de Santander,Bochalema,,,,,,,,,,,,,,,,,,,1.1 tons cocaine seized and drug production lab dismantled in Bochalema.,,,,https://www.eldiario.com.co/noticias/colombia/incautan-15-toneladas-de-cocaina-y-explosivos-atribuidos-al-eln-en-el-cesar/,,,,,,,,,,https://www.eldiario.com.co/noticias/colombia/incautan-15-toneladas-de-cocaina-y-explosivos-atribuidos-al-eln-en-el-cesar/,"Incautan 1,5 toneladas de cocaína y explosivos atribuidos al ELN en el Cesar - El Diario",2026-06-29,ok,dup_4,20260919_032703
Seizure,Individual,2026-06-26,,2026,6,26,,Cocaine Base,300,Kilogram,Land,Storage Site,South America,Colombia,Norte de Santander,Bochalema,,,,,,,,,,,,,,,,,,,300 kg cocaine base seized alongside cocaine at Bochalema lab operation.,,,,https://www.eldiario.com.co/noticias/colombia/incautan-15-toneladas-de-cocaina-y-explosivos-atribuidos-al-eln-en-el-cesar/,,,,,,,,,,https://www.eldiario.com.co/noticias/colombia/incautan-15-toneladas-de-cocaina-y-explosivos-atribuidos-al-eln-en-el-cesar/,"Incautan 1,5 toneladas de cocaína y explosivos atribuidos al ELN en el Cesar - El Diario",2026-06-29,ok,dup_5,20260919_032703
Seizure,Individual,2024-08-01,,2024,8,1,,Cocaine,,,Land,Vehicle,Europe,United Kingdom,Scotland,Glasgow,,,,,,,,,,,,,,,,,,,"Declan Price stopped in Sandyhills, Glasgow, with cocaine worth £300,000.",Paul Easdon network,,,https://www.dailyrecord.co.uk/news/scottish-news/how-drug-kingpin-nicknamed-glasgowceltic-37350821.amp,,,,,,,,,,https://www.dailyrecord.co.uk/news/scottish-news/how-drug-kingpin-nicknamed-glasgowceltic-37350821.amp,How drug kingpin nicknamed 'Glasgowceltic' ran criminal network - Daily Record,2026-06-29,ok,,20260919_032703
