event_type,time_unit,date_1,date_2,year,month,day,duration,drug_type,quantity,quantity_unit,modus_operandi,sub_modus_operandi,region,country,department/state,municipality/port,origin_country,origin_area,origin_municipality,transit_1_region,transit_1_country,transit_1_department/state,transit_1_municipality/port,transit_2_region,transit_2_country,transit_2_department/state,transit_2_municipality/port,destination_1_region,destination_1_country,destination_1_department/state,destination_1_municipality/port,destination_2_country,destination_2_department/state,destination_2_municipality/port,description,criminal_group_1,criminal_group_2,criminal_group_3,source_link,source_link2,archived_link,minor_involved,project_interested,uid,lat,lon,geo_lugar,geo_precision,_url_original,_titulo_alerta,_fecha_alerta,_scrape_status,_grupo_duplicado,_run_id
Seizure,Individual,2026-06-15,,2026,6,15,,All/Unspecified/Multiple,,,Land,Storage Site,South America,Uruguay,Tacuarembó,Barrio Don Audemar,,,,,,,,,,,,,,,,,,,Operación Coyote: pasta base and cocaine seized from drug sales points in Tacuarembó.,,,,https://www.gub.uy/ministerio-interior/comunicacion/noticias/operacion-coyote-incautacion-drogas-dinero-desarticulacion-bocas-tacuarembo,,,,,,,,,,https://www.gub.uy/ministerio-interior/comunicacion/noticias/operacion-coyote-incautacion-drogas-dinero-desarticulacion-bocas-tacuarembo,"Operación Coyote: incautación de drogas, dinero y desarticulación de bocas en Tacuarembó",2026-06-15,ok,,20260912_153001
Seizure,Individual,2026-06-22,,2026,6,22,,Cocaine,1000000,USD,Land,,North America,United States,Texas,,,,,,,,,,,,,,,,,,,,CBP officers seize nearly $1M worth of cocaine at South Texas ports.,,,,http://www.msn.com/en-us/news/us/cbp-officers-seize-nearly-1-million-worth-of-cocaine-at-south-texas-ports/ar-AA25Z5lX?apiversion=v2&domshim=1&noservercache=1&noservertelemetry=1&batchservertelemetry=1&renderwebcomponents=1&wcseo=1,,,,,,,,,,http://www.msn.com/en-us/news/us/cbp-officers-seize-nearly-1-million-worth-of-cocaine-at-south-texas-ports/ar-AA25Z5lX?apiversion=v2&domshim=1&noservercache=1&noservertelemetry=1&batchservertelemetry=1&renderwebcomponents=1&wcseo=1,CBP officers seize nearly $1 million worth of cocaine at South Texas ports - MSN,2026-06-22,texto_pobre,,20260912_153001
Seizure,Individual,2026-06-15,,2026,6,15,,All/Unspecified/Multiple,,,,,South America,Brazil,,,,,,,,,,,,,,,,,,,,,Police seized marijuana and cocaine shipments in the region.,,,,https://folhadomate.com/noticias/policia/policia-apreende-carregamentos-de-maconha-e-cocaina-na-regiao/,,,,,,,,,,https://folhadomate.com/noticias/policia/policia-apreende-carregamentos-de-maconha-e-cocaina-na-regiao/,Polícia apreende carregamentos de maconha e cocaína na região - Folha do Mate,2026-06-15,texto_pobre,,20260912_153001
Seizure,Individual,2026-06-15,,2026,6,15,,All/Unspecified/Multiple,1,Kilogram,Land,Storage Site,North America,Canada,Ontario,Collingwood,,,,,,,,,,,,,,,,,,,"1 kg cocaine, $12K cash, and MDMA seized in Collingwood home.",,,,https://www.barrietoday.com/police-beat/police-find-kilo-of-cocaine-12k-cash-and-mdma-in-collingwood-home-12421538,,,,,,,,,,https://www.barrietoday.com/police-beat/police-find-kilo-of-cocaine-12k-cash-and-mdma-in-collingwood-home-12421538,"Police find kilo of cocaine, $12K cash and MDMA in Collingwood home - Barrie Today",2026-06-15,texto_pobre,,20260912_153001
Seizure,Individual,2025-05-30,,2025,5,30,,Cocaine,814.67,Capsule/Dose,Land,Storage Site,Europe,Portugal,Évora,Évora,,,,,,,,,,,,,,,,,,,PSP dismantles family drug network in Évora; 23 arrested.,,,,https://sapo.pt/artigo/psp-desmantela-alegada-rede-de-trafico-em-evora-23-detidos-e-mais-de-800-doses-de-cocaina-apreendidas-6a1d8b12bd4691ffdc57af1b,,,,,,,,,,https://sapo.pt/artigo/psp-desmantela-alegada-rede-de-trafico-em-evora-23-detidos-e-mais-de-800-doses-de-cocaina-apreendidas-6a1d8b12bd4691ffdc57af1b,PSP desmantela alegada rede de tráfico em Évora: 23 detidos e mais de 800 doses de ... - SAPO,2026-06-01,ok,,20260912_153001
Seizure,Individual,2026-06-15,,2026,6,15,,Cocaine,333,Capsule/Dose,Land,Storage Site,South America,Brazil,Rio Grande do Sul,Caxias do Sul,,,,,,,,,,,,,,,,,,,"333 cocaine portions seized in Jardim América neighbourhood, Caxias do Sul.",,,,https://www.facebook.com/studionoticiastv/posts/caxiasdosul-policial-a%C3%A7%C3%A3o-ocorreu-no-bairro-jardim-am%C3%A9rica-e-resultou-na-apreens/1617329463731289/,,,,,,,,,,https://www.facebook.com/studionoticiastv/posts/caxiasdosul-policial-a%C3%A7%C3%A3o-ocorreu-no-bairro-jardim-am%C3%A9rica-e-resultou-na-apreens/1617329463731289/,Ação ocorreu no bairro Jardim América e resultou na apreensão de 333 porções de cocaína ...,2026-06-15,no_scrapeable,,20260912_153001
Seizure,Individual,2026-06-15,,2026,6,15,,Cocaine,530,Kilogram,Land,Storage Site,Europe,United Kingdom,Devon and Cornwall,Plymouth,,,,,,,,,,,,,,,,,,,SWROCU seized 530g cocaine and other drugs from Plymouth home.,,,,https://uknip.co.uk/news/uk/uk-news/plymouth-man-jailed-for-drugs-and-weapons-following-swrocu-bust/,,,,,,,,,,https://uknip.co.uk/news/uk/uk-news/plymouth-man-jailed-for-drugs-and-weapons-following-swrocu-bust/,Plymouth Man Jailed for Drugs and Weapons Following SWROCU Bust - uknip.co.uk,2026-06-15,ok,,20260912_153001
Seizure,Individual,2026-06-07,,2026,6,7,,Cocaine,237.6,Kilogram,Air,Air Cargo,Africa,Liberia,,Monrovia,,,,,,,,,,,,Europe,Belgium,,,,,,"237.6 kg cocaine seized at Roberts International Airport, Monrovia, via Brussels Airlines.",,,,https://www.koaci.com/article/2026/06/15/liberia/societe/liberia-saisie-record-de-237-kg-de-cocaine-dune-valeur-de-plus-de-19-millions-de-dollars-a-laeroport-enquete_197604.html,,,,,,,,,,https://www.koaci.com/article/2026/06/15/liberia/societe/liberia-saisie-record-de-237-kg-de-cocaine-dune-valeur-de-plus-de-19-millions-de-dollars-a-laeroport-enquete_197604.html,Liberia : Saisie record de 237 Kg de cocaïne d'une valeur de plus de 19 millions de dollars à ...,2026-06-15,ok,,20260912_153001
Seizure,Individual,2026-06-15,,2026,6,15,,Cocaine,60,Kilogram,Land,,North America,Canada,,Blue Water Bridge,,,,,,,,,,,,,,,,,,,Major seizure of over 60 kg cocaine at Blue Water Bridge.,,,,https://www.facebook.com/OnTheRoadQuebec/posts/pour-tenter-de-comprendre-%EF%B8%8F-saisie-majeure-au-pont-blue-water-plus-de-60-kg-de-c/1537256128194039/,,,,,,,,,,https://www.facebook.com/OnTheRoadQuebec/posts/pour-tenter-de-comprendre-%EF%B8%8F-saisie-majeure-au-pont-blue-water-plus-de-60-kg-de-c/1537256128194039/,Pour tenter de comprendre ➡️ https://bit.ly/4xsQbyB Saisie majeure au pont Blue Water : plus de ...,2026-06-15,no_scrapeable,,20260912_153001
Seizure,Individual,2026-06-15,,2026,6,15,,All/Unspecified/Multiple,,,Land,Storage Site,South America,Uruguay,Tacuarembó,Barrio Don Audemar,,,,,,,,,,,,,,,,,,,"Operación Coyote: pasta base y cocaína incautadas en bocas de venta, Tacuarembó.",,,,https://www.gub.uy/ministerio-interior/comunicacion/noticias/operacion-coyote-incautacion-drogas-dinero-desarticulacion-bocas-tacuarembo,,,,,,,,,,https://www.gub.uy/ministerio-interior/comunicacion/noticias/operacion-coyote-incautacion-drogas-dinero-desarticulacion-bocas-tacuarembo,"Operación Coyote: incautación de drogas, dinero y desarticulación de bocas en Tacuarembó",2026-06-15,ok,,20260912_155556
